iter	Passed	Remaining
419	2433	3359
420	2439	3355
421	2445	3349
422	2451	3344
423	2456	3336
424	2461	3329
425	2466	3323
426	2474	3320
427	2481	3317
428	2488	3312
429	2496	3309
430	2500	3301
431	2504	3293
432	2509	3286
433	2515	3280
434	2524	3279
435	2532	3275
436	2538	3270
437	2542	3262
438	2548	3256
439	2554	3250
440	2560	3245
441	2566	3240
442	2572	3234
443	2577	3228
444	2583	3221
445	2587	3214
446	2596	3211
447	2602	3206
448	2607	3200
449	2616	3197
450	2624	3194
451	2633	3193
452	2640	3187
453	2644	3180
454	2649	3173
455	2656	3168
456	2660	3161
457	2666	3155
458	2672	3149
459	2681	3148
460	2690	3145
461	2694	3138
462	2700	3131
463	2705	3124
464	2708	3116
465	2714	3110
466	2721	3106
467	2726	3099
468	2730	3091
469	2736	3085
470	2742	3079
471	2751	3078
472	2756	3071
473	2761	3064
474	2766	3057
475	2771	3050
476	2777	3045
477	2784	3040
478	2789	3034
479	2794	3027
480	2800	3021
481	2806	3015
482	2810	3008
483	2816	3002
484	2821	2995
485	2827	2990
486	2832	2983
487	2840	2980
488	2848	2976
489	2852	2968
490	2857	2962
491	2864	2958
492	2871	2952
493	2876	2946
494	2882	2940
495	2892	2939
496	2898	2933
497	2903	2927
498	2908	2920
499	2915	2915
500	2920	2908
501	2929	2906
502	2933	2898
503	2937	2891
504	2942	2884
505	2947	2877
506	2953	2872
507	2958	2865
508	2963	2859
509	2968	2852
510	2972	2844
511	2978	2839
512	2983	2832
513	2990	2827
514	2997	2822
515	3004	2817
516	3010	2812
517	3016	2806
518	3024	2803
519	3030	2797
520	3038	2793
521	3044	2788
522	3050	2781
523	3055	2775
524	3062	2770
525	3067	2764
526	3073	2758
527	3077	2751
528	3084	2746
529	3090	2740
530	3094	2733
531	3099	2726
532	3103	2719
533	3108	2712
534	3115	2707
535	3119	2700
536	3132	2700
537	3140	2696
538	3147	2692
539	3158	2690
540	3165	2685
541	3173	2681
542	3179	2675
543	3184	2669
544	3190	2663
545	3195	2656
546	3199	2649
547	3203	2641
548	3208	2636
549	3214	2630
550	3220	2624
551	3225	2618
552	3229	2610
553	3236	2605
554	3241	2599
555	3247	2593
556	3252	2586
557	3256	2579
558	3262	2573
559	3269	2569
560	3275	2563
561	3280	2556
562	3288	2552
563	3294	2546
564	3302	2542
565	3310	2538
566	3315	2531
567	3322	2526
568	3329	2522
569	3338	2518
570	3343	2511
571	3350	2507
572	3358	2502
573	3364	2496
574	3369	2490
575	3375	2484
576	3381	2478
577	3387	2472
578	3394	2468
579	3402	2463
580	3408	2458
581	3413	2451
582	3418	2445
583	3425	2439
584	3430	2433
585	3434	2426
586	3442	2421
587	3449	2416
588	3454	2410
589	3461	2405
590	3467	2399
591	3472	2393
592	3477	2386
593	3482	2380
594	3487	2374
595	3494	2368
596	3499	2362
597	3504	2355
598	3510	2350
