,Model,Accuracy,Bal Acc.,Time
1,SVM RBF,81.9304152637486,79.16307161345988,0.5038952827453613
2,LM Logistic Regression,81.59371492704825,80.15770300067108,0.46360135078430176
3,NN Multi layer Perceptron,81.59371492704825,79.110344166427,5.36185884475708
4,LM Ridge,81.48148148148148,79.95638002109098,0.2974681854248047
5,KNN,81.14478114478115,79.29728693317995,0.3238692283630371
6,SVM Linear,79.7979797979798,78.8107563991947,0.4342172145843506
7,BM Guassian Naive Bayes,67.45230078563412,71.16287987728884,0.3058621883392334
