iter	Passed	Remaining
477	647	707
478	649	705
479	651	705
480	652	703
481	653	701
482	655	701
483	661	704
484	661	702
485	662	701
486	663	699
487	664	697
488	665	695
489	666	693
490	667	691
491	668	690
492	669	688
493	675	691
494	676	690
495	677	688
496	678	686
497	679	684
498	680	682
499	681	681
500	681	679
501	682	677
502	686	678
503	687	676
504	687	674
505	688	672
506	689	670
507	690	668
508	691	666
509	692	665
510	693	663
511	694	661
512	695	659
513	698	660
514	704	663
515	705	661
516	706	659
517	706	657
518	707	655
519	709	655
520	712	654
521	714	654
522	715	652
523	716	651
524	718	650
525	720	649
526	721	647
527	722	646
528	723	644
529	724	642
530	725	640
531	726	638
532	727	637
533	728	635
534	729	633
535	730	632
536	731	630
537	732	628
538	733	627
539	734	625
540	735	623
541	736	622
542	737	620
543	738	619
544	739	617
545	740	615
546	744	616
547	745	614
548	746	612
549	746	611
550	750	611
551	751	609
552	752	608
553	753	606
554	754	604
555	755	603
556	756	601
557	757	599
558	758	598
559	759	596
560	760	595
561	761	593
562	762	592
563	763	590
564	764	588
565	765	587
566	766	585
567	767	583
568	768	582
569	769	580
570	770	578
571	771	577
572	773	576
573	774	574
574	775	573
575	776	571
576	777	569
577	778	568
578	778	566
579	779	564
580	781	563
581	783	562
582	784	561
583	785	559
584	787	558
585	788	556
586	788	555
587	790	553
588	791	552
589	792	550
590	793	549
591	794	547
592	795	546
593	796	544
594	797	542
595	798	541
596	799	539
597	800	538
598	801	536
599	802	534
600	803	533
601	807	534
602	808	532
603	809	530
604	810	529
605	811	527
606	812	526
607	813	524
608	815	523
609	816	521
610	817	520
611	817	518
612	818	516
613	819	515
614	820	513
615	821	512
616	822	510
617	823	509
618	824	507
619	826	506
620	826	504
621	828	503
622	828	501
623	829	499
624	830	498
625	831	497
626	833	495
627	834	494
628	838	494
629	840	493
630	841	492
631	842	490
632	843	488
633	844	487
634	844	485
635	845	484
636	847	483
637	848	481
638	850	480
639	851	478
640	852	477
641	853	475
642	853	474
643	854	472
644	855	470
645	856	469
646	859	468
647	860	467
648	861	465
649	862	464
650	863	462
651	867	463
652	870	462
653	870	460
654	871	459
655	872	457
656	873	455
657	874	454
658	876	453
659	876	451
660	878	450
661	880	449
662	881	447
663	882	446
664	883	444
665	884	443
666	885	441
667	886	440
668	887	439
669	888	437
670	889	436
671	891	434
672	892	433
673	893	431
674	893	430
675	895	429
676	896	427
677	898	426
678	899	425
679	901	424
680	902	422
681	903	421
682	904	419
683	905	418
684	906	416
685	907	415
686	908	413
687	909	412
688	910	410
689	911	409
690	913	408
691	914	406
692	914	405
693	916	403
694	916	402
695	917	400
696	918	399
697	919	397
698	920	396
699	921	395
700	923	394
701	925	392
702	926	391
703	927	389
704	928	388
705	928	386
706	931	385
707	934	385
708	935	383
709	936	382
710	937	380
711	938	379
712	939	378
713	940	376
714	942	375
715	943	374
716	944	372
717	945	371
718	946	369
719	947	368
720	949	367
721	949	365
722	950	364
723	951	362
724	952	361
725	953	360
726	955	358
727	957	357
728	958	356
729	959	354
730	960	353
731	961	352
732	962	350
733	963	349
734	964	347
735	967	346
736	968	345
737	969	344
738	970	342
739	970	341
740	971	339
741	972	338
742	973	336
743	976	335
744	977	334
745	978	333
746	979	331
747	980	330
748	981	328
749	982	327
750	983	326
751	984	324
752	985	323
753	986	321
754	988	320
755	989	319
756	991	318
757	992	316
758	993	315
759	994	313
760	995	312
761	996	311
762	997	309
763	998	308
764	999	307
765	1000	305
766	1001	304
767	1002	302
768	1003	301
769	1004	300
770	1005	298
771	1006	297
772	1007	295
